,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered
63,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.083715,2021-01-18 12:42:44.780135,8,3600,7589
64,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.312937,2021-01-18 12:42:44.780135,5,3600,12272
65,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.243416,2021-01-18 12:42:44.780135,16,3600,7698
66,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.157191,2021-01-18 12:42:44.780135,18,3600,7679
67,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.273411,2021-01-18 12:42:44.780135,12,3600,12335
68,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.276193,2021-01-18 12:42:44.780135,2,3600,12454
69,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.261902,2021-01-18 12:42:44.780135,11,3600,12493
70,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.272142,2021-01-18 12:42:44.780135,9,3600,12610
71,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.323608,2021-01-18 12:42:44.780135,3,3600,7562
72,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.239339,2021-01-18 12:42:44.780135,20,3600,7748
73,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.352875,2021-01-18 12:42:44.780135,10,3600,7624
74,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.116329,2021-01-18 12:42:44.780135,6,3600,12369
75,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.187836,2021-01-18 12:42:44.780135,17,3600,7676
76,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.043327,2021-01-18 12:42:44.780135,15,3600,12505
77,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.320677,2021-01-18 12:42:44.780135,19,3600,12540
78,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.220099,2021-01-18 12:42:44.780135,7,3600,12377
79,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.236269,2021-01-18 12:42:44.780135,13,3600,7655
80,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.083715,2021-01-18 12:42:44.780135,8,4500,12366
81,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.157191,2021-01-18 12:42:44.780135,18,4500,7698
82,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.043327,2021-01-18 12:42:44.780135,15,4500,12508
83,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.284577,2021-01-18 12:42:44.780135,14,4500,12528
84,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.273411,2021-01-18 12:42:44.780135,12,4500,12340
85,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.312053,2021-01-18 12:42:44.780135,4,4500,12401
86,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.243416,2021-01-18 12:42:44.780135,16,4500,7715
87,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.272142,2021-01-18 12:42:44.780135,9,4500,12635
88,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.261902,2021-01-18 12:42:44.780135,11,4500,12494
89,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.187836,2021-01-18 12:42:44.780135,17,4500,7676
90,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,libfuzzer,curl_curl_fuzzer_smb,2021-01-18 06:32:40.320677,2021-01-18 12:42:44.780135,19,4500,12551
91,8ba85fd38dfd6aeb1085fa6c8c2afc89c1722a3e,/home/jinsheng/experiment-data,smb-011814,ifcg,curl_curl_fuzzer_smb,2021-01-18 06:32:40.116329,2021-01-18 12:42:44.780135,6,4500,12369
